id,service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date                                                               
1,5032X,0,0,1,0,0,0,0,20220112,20220112
2,5033J,0,0,0,1,0,0,0,20220113,20220113
3,5034V,0,0,0,0,1,0,0,20220114,20220114
4,5035S,0,0,0,0,0,1,0,20220115,20220115
5,5036D,0,0,0,0,0,0,1,20220116,20220116
6,5037L,1,0,0,0,0,0,0,20220117,20220117
7,5038M,0,1,0,0,0,0,0,20220118,20220118
8,5039X,0,0,1,0,0,0,0,20220119,20220119
9,5040J,0,0,0,1,0,0,0,20220120,20220120
10,5041V,0,0,0,0,1,0,0,20220121,20220121
11,5042S,0,0,0,0,0,1,0,20220122,20220122
12,5043D,0,0,0,0,0,0,1,20220123,20220123
13,5044L,1,0,0,0,0,0,0,20220124,20220124
14,5045M,0,1,0,0,0,0,0,20220125,20220125
15,5046X,0,0,1,0,0,0,0,20220126,20220126
16,5047J,0,0,0,1,0,0,0,20220127,20220127
17,5048V,0,0,0,0,1,0,0,20220128,20220128
18,5049S,0,0,0,0,0,1,0,20220129,20220129
19,5050D,0,0,0,0,0,0,1,20220130,20220130
20,5051L,1,0,0,0,0,0,0,20220131,20220131
21,5052M,0,1,0,0,0,0,0,20220201,20220201
22,5053X,0,0,1,0,0,0,0,20220202,20220202
23,5054J,0,0,0,1,0,0,0,20220203,20220203
24,5055V,0,0,0,0,1,0,0,20220204,20220204
25,5056S,0,0,0,0,0,1,0,20220205,20220205
26,5057D,0,0,0,0,0,0,1,20220206,20220206
27,5058L,1,0,0,0,0,0,0,20220207,20220207
28,5059M,0,1,0,0,0,0,0,20220208,20220208
29,5060X,0,0,1,0,0,0,0,20220209,20220209
30,5061J,0,0,0,1,0,0,0,20220210,20220210
31,5062V,0,0,0,0,1,0,0,20220211,20220211
