id,stop_id,stop_name,stop_lat,stop_lon                                                                                                                   
1,71209,Riba-Roja D'ebre,41.2484510,0.48088800                                                                                                          
2,71210,Flix,41.2295020,0.54007100                                                                                                                      
3,71211,Asc�,41.1824790,0.56896400                                                                                                                      
4,71300,Mora La Nova,41.1063740,0.65289300                                                                                                              
5,71301,Els Guiamets,41.0934620,0.74717300                                                                                                              
6,71302,Cap�anes,41.1020570,0.78033000                                                                                                                  
7,71303,Mar�a-Falset,41.1309450,0.81032800                                                                                                              
8,71304,Pradell De La Teixeta,41.1332400,0.85837100                                                                                                     
9,71305,Duesaigues-L'argentera,41.1437760,0.92094200                                                                                                    
10,71306,Riudecanyes-Botarell,41.1400270,0.97564800                                                                                                      
11,71307,Les Borges Del Camp,41.1655250,1.02077400                                                                                                       
12,71400,Reus,41.1605240,1.09997900                                                                                                                      
13,71401,Vila-Seca,41.1127440,1.15038900                                                                                                                 
14,71500,Tarragona,41.1116240,1.25321400                                                                                                                 
15,71502,Altafulla-Tamarit,41.1364460,1.37453000                                                                                                         
16,71503,Torredembarra,41.1428570,1.40566000                                                                                                             
17,71600,Sant Vicen� De Calders,41.186245 ,1.526315                                                                                                      
18,71601,Calafell,41.188736 ,1.567244                                                                                                                    
19,71602,Segur De Calafell,41.192544 ,1.607745                                                                                                           
20,71603,Cunit,41.195912 ,1.631307                                                                                                                       
21,71604,Cubelles,41.204112 ,1.671807                                                                                                                    
22,71700,Vilanova I La Geltru,41.219993 ,1.733331                                                                                                        
23,71701,Sitges,41.237757 ,1.81694                                                                                                                       
24,71703,Garraf (apt),41.254712 ,1.904007                                                                                                                
25,71704,Platja De Castelldefels,41.265442 ,1.943333                                                                                                     
26,71705,Castelldefels,41.26816  ,1.964203                                                                                                               
27,71706,Gava,41.304209 ,2.012793                                                                                                                        
28,71707,El Prat De Llobregat,41.330762 ,2.088982                                                                                                        
29,71708,Bellvitge,41.354261 ,2.115549                                                                                                                   
30,71709,Viladecans,41.309407 ,2.0277                                                                                                                    
31,71801,Barcelona-Sants,41.37922  ,2.140624                                                                                                             
32,71802,Barcelona-Passeig De Gracia,41.392281 ,2.164896                                                                                                 
33,72100,Roda De Bara,41.1840520,1.44015300                                                                                                              
34,72101,Roda De Mar,41.1863150,1.45514430                                                                                                               
35,72201,El Vendrell,41.220531 ,1.537775                                                                                                                 
36,72202,L'arboc,41.273412 ,1.600516                                                                                                                     
37,72203,Els Monjos,41.316708 ,1.662007                                                                                                                  
38,72204,Vilafranca Del Penedes,41.344856 ,1.703676                                                                                                      
39,72205,La Granada,41.370925 ,1.725083                                                                                                                  
40,72206,Lavern-Subirats (apd),41.395755 ,1.768162                                                                                                       
41,72207,Sant Sadurni D'anoia,41.419824 ,1.794186                                                                                                        
42,72208,Gelida (apd),41.442478 ,1.850896                                                                                                                
43,72209,Martorell,41.479459 ,1.929874                                                                                                                   
44,72210,Castellbisbal,41.473263 ,1.967619                                                                                                               
45,72211,El Papiol (apd),41.435304 ,2.002477                                                                                                             
46,72300,Molins De Rei,41.409953 ,2.020864                                                                                                               
47,72301,Sant Feliu De Llobregat,41.383049 ,2.048042                                                                                                     
48,72302,Sant Joan Despi (apd),41.368619 ,2.060305                                                                                                       
49,72303,Cornella,41.357469 ,2.070566                                                                                                                    
50,72305,L'hospitalet De Llobregat,41.364129 ,2.100766                                                                                                   
51,72400,El Prat Aeroport,41.303844 ,2.07218                                                                                                             
