id,route_id,service_id,trip_id
1,50T0001R1  ,5032X,5032X25601R1
2,50T0001R1  ,5032X,5032X25603R1
3,50T0001R1  ,5032X,5032X25605R1
4,50T0001R1  ,5032X,5032X25607R1
5,50T0001R1  ,5032X,5032X25609R1
6,50T0001R1  ,5032X,5032X25611R1
7,50T0001R1  ,5032X,5032X25613R1
8,50T0001R1  ,5032X,5032X25615R1
9,50T0001R1  ,5032X,5032X25617R1
10,50T0001R1  ,5032X,5032X25619R1
11,50T0001R1  ,5032X,5032X25621R1
12,50T0001R1  ,5032X,5032X25623R1
13,50T0001R1  ,5032X,5032X25625R1
14,50T0001R1  ,5032X,5032X25627R1
15,50T0001R1  ,5032X,5032X25629R1
16,50T0001R1  ,5032X,5032X25631R1
17,50T0001R1  ,5032X,5032X25633R1
18,50T0001R1  ,5032X,5032X25635R1
19,50T0001R1  ,5032X,5032X25637R1
20,50T0001R1  ,5032X,5032X25639R1
21,50T0001R1  ,5032X,5032X25641R1
22,50T0001R1  ,5032X,5032X25643R1
23,50T0001R1  ,5032X,5032X25645R1
24,50T0001R1  ,5032X,5032X25647R1
25,50T0001R1  ,5032X,5032X25649R1
26,50T0001R1  ,5032X,5032X25651R1
27,50T0001R1  ,5032X,5032X25653R1
28,50T0001R1  ,5032X,5032X25655R1
29,50T0001R1  ,5032X,5032X25657R1
30,50T0001R1  ,5032X,5032X25659R1
31,50T0001R1  ,5032X,5032X25661R1
32,50T0001R1  ,5032X,5032X25663R1
33,50T0001R1  ,5032X,5032X25665R1
34,50T0001R1  ,5032X,5032X25667R1
35,50T0001R1  ,5032X,5032X25669R1
36,50T0001R1  ,5032X,5032X25701R1
37,50T0001R1  ,5032X,5032X25703R1
38,50T0001R1  ,5032X,5032X25705R1
39,50T0001R1  ,5032X,5032X25707R1
40,50T0001R1  ,5032X,5032X25709R1
41,50T0001R1  ,5032X,5032X25711R1
42,50T0001R1  ,5032X,5032X25713R1
43,50T0001R1  ,5032X,5032X25715R1
44,50T0001R1  ,5032X,5032X25717R1
45,50T0001R1  ,5032X,5032X25719R1
46,50T0001R1  ,5032X,5032X25721R1
47,50T0001R1  ,5032X,5032X25723R1
48,50T0001R1  ,5032X,5032X25725R1
49,50T0001R1  ,5032X,5032X25727R1
50,50T0001R1  ,5032X,5032X25729R1
51,50T0001R1  ,5032X,5032X25731R1
52,50T0001R1  ,5032X,5032X25733R1
53,50T0001R1  ,5032X,5032X25735R1
54,50T0001R1  ,5032X,5032X25737R1
55,50T0001R1  ,5032X,5032X25739R1
56,50T0001R1  ,5032X,5032X25741R1
57,50T0001R1  ,5032X,5032X25743R1
58,50T0001R1  ,5032X,5032X25745R1
59,50T0001R1  ,5032X,5032X25747R1
60,50T0001R1  ,5032X,5032X25749R1
61,50T0001R1  ,5032X,5032X25751R1
62,50T0001R1  ,5032X,5032X25753R1
63,50T0001R1  ,5032X,5032X25755R1
64,50T0001R1  ,5032X,5032X25757R1
65,50T0001R1  ,5032X,5032X25759R1
66,50T0001R1  ,5032X,5032X25761R1
67,50T0001R1  ,5032X,5032X25763R1
68,50T0001R1  ,5032X,5032X25765R1
69,50T0001R1  ,5032X,5032X25767R1
70,50T0001R1  ,5032X,5032X25769R1
71,50T0001R1  ,5032X,5032X25771R1
72,50T0001R1  ,5032X,5032X25773R1
73,50T0001R1  ,5032X,5032X25775R1
74,50T0001R1  ,5032X,5032X25777R1
75,50T0001R1  ,5032X,5032X25779R1
76,50T0001R1  ,5032X,5032X25781R1
77,50T0001R1  ,5032X,5032X28858R1
78,50T0001R1  ,5032X,5032X28860R1
79,50T0001R1  ,5032X,5032X28862R1
80,50T0001R1  ,5032X,5032X28864R1
81,50T0001R1  ,5032X,5032X28866R1
82,50T0001R1  ,5032X,5032X28868R1
83,50T0001R1  ,5032X,5032X28870R1
84,50T0001R1  ,5032X,5032X28872R1
85,50T0001R1  ,5032X,5032X28874R1
86,50T0001R1  ,5032X,5032X28876R1
87,50T0001R1  ,5032X,5032X28878R1
88,50T0001R1  ,5032X,5032X28880R1
