service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date                                                               
1032X,0,0,1,0,0,0,0,20220112,20220112                                                                                                                 
1033J,0,0,0,1,0,0,0,20220113,20220113                                                                                                                 
1034V,0,0,0,0,1,0,0,20220114,20220114                                                                                                                 
1035S,0,0,0,0,0,1,0,20220115,20220115                                                                                                                 
1036D,0,0,0,0,0,0,1,20220116,20220116                                                                                                                 
1037L,1,0,0,0,0,0,0,20220117,20220117                                                                                                                 
1038M,0,1,0,0,0,0,0,20220118,20220118                                                                                                                 
1039X,0,0,1,0,0,0,0,20220119,20220119                                                                                                                 
1040J,0,0,0,1,0,0,0,20220120,20220120                                                                                                                 
1041V,0,0,0,0,1,0,0,20220121,20220121                                                                                                                 
1042S,0,0,0,0,0,1,0,20220122,20220122                                                                                                                 
1043D,0,0,0,0,0,0,1,20220123,20220123                                                                                                                 
1044L,1,0,0,0,0,0,0,20220124,20220124                                                                                                                 
1045M,0,1,0,0,0,0,0,20220125,20220125                                                                                                                 
1046X,0,0,1,0,0,0,0,20220126,20220126                                                                                                                 
1047J,0,0,0,1,0,0,0,20220127,20220127                                                                                                                 
1048V,0,0,0,0,1,0,0,20220128,20220128                                                                                                                 
1049S,0,0,0,0,0,1,0,20220129,20220129                                                                                                                 
1050D,0,0,0,0,0,0,1,20220130,20220130                                                                                                                 
1051L,1,0,0,0,0,0,0,20220131,20220131                                                                                                                 
1052M,0,1,0,0,0,0,0,20220201,20220201                                                                                                                 
1053X,0,0,1,0,0,0,0,20220202,20220202                                                                                                                 
1054J,0,0,0,1,0,0,0,20220203,20220203                                                                                                                 
1055V,0,0,0,0,1,0,0,20220204,20220204                                                                                                                 
1056S,0,0,0,0,0,1,0,20220205,20220205                                                                                                                 
1057D,0,0,0,0,0,0,1,20220206,20220206                                                                                                                 
1058L,1,0,0,0,0,0,0,20220207,20220207                                                                                                                 
1059M,0,1,0,0,0,0,0,20220208,20220208                                                                                                                 
1060X,0,0,1,0,0,0,0,20220209,20220209                                                                                                                 
1061J,0,0,0,1,0,0,0,20220210,20220210                                                                                                                 
1062V,0,0,0,0,1,0,0,20220211,20220211                                                                                                                 
2032X,0,0,1,0,0,0,0,20220112,20220112                                                                                                                 
2033J,0,0,0,1,0,0,0,20220113,20220113                                                                                                                 
2034V,0,0,0,0,1,0,0,20220114,20220114                                                                                                                 
2035S,0,0,0,0,0,1,0,20220115,20220115                                                                                                                 
2036D,0,0,0,0,0,0,1,20220116,20220116                                                                                                                 
2037L,1,0,0,0,0,0,0,20220117,20220117                                                                                                                 
2038M,0,1,0,0,0,0,0,20220118,20220118                                                                                                                 
2039X,0,0,1,0,0,0,0,20220119,20220119                                                                                                                 
2040J,0,0,0,1,0,0,0,20220120,20220120                                                                                                                 
2041V,0,0,0,0,1,0,0,20220121,20220121                                                                                                                 
2042S,0,0,0,0,0,1,0,20220122,20220122                                                                                                                 
2043D,0,0,0,0,0,0,1,20220123,20220123                                                                                                                 
2044L,1,0,0,0,0,0,0,20220124,20220124                                                                                                                 
2045M,0,1,0,0,0,0,0,20220125,20220125                                                                                                                 
2046X,0,0,1,0,0,0,0,20220126,20220126                                                                                                                 
2047J,0,0,0,1,0,0,0,20220127,20220127                                                                                                                 
2048V,0,0,0,0,1,0,0,20220128,20220128                                                                                                                 
2049S,0,0,0,0,0,1,0,20220129,20220129                                                                                                                 
2050D,0,0,0,0,0,0,1,20220130,20220130                                                                                                                 
2051L,1,0,0,0,0,0,0,20220131,20220131                                                                                                                 
2052M,0,1,0,0,0,0,0,20220201,20220201                                                                                                                 
2053X,0,0,1,0,0,0,0,20220202,20220202                                                                                                                 
2054J,0,0,0,1,0,0,0,20220203,20220203                                                                                                                 
2055V,0,0,0,0,1,0,0,20220204,20220204                                                                                                                 
2056S,0,0,0,0,0,1,0,20220205,20220205                                                                                                                 
2057D,0,0,0,0,0,0,1,20220206,20220206                                                                                                                 
2058L,1,0,0,0,0,0,0,20220207,20220207                                                                                                                 
2059M,0,1,0,0,0,0,0,20220208,20220208                                                                                                                 
2060X,0,0,1,0,0,0,0,20220209,20220209                                                                                                                 
2061J,0,0,0,1,0,0,0,20220210,20220210                                                                                                                 
2062V,0,0,0,0,1,0,0,20220211,20220211                                                                                                                 
3032X,0,0,1,0,0,0,0,20220112,20220112                                                                                                                 
3033J,0,0,0,1,0,0,0,20220113,20220113                                                                                                                 
3034V,0,0,0,0,1,0,0,20220114,20220114                                                                                                                 
3035S,0,0,0,0,0,1,0,20220115,20220115                                                                                                                 
3036D,0,0,0,0,0,0,1,20220116,20220116                                                                                                                 
3037L,1,0,0,0,0,0,0,20220117,20220117                                                                                                                 
3038M,0,1,0,0,0,0,0,20220118,20220118                                                                                                                 
3039X,0,0,1,0,0,0,0,20220119,20220119                                                                                                                 
3040J,0,0,0,1,0,0,0,20220120,20220120                                                                                                                 
3041V,0,0,0,0,1,0,0,20220121,20220121                                                                                                                 
3042S,0,0,0,0,0,1,0,20220122,20220122                                                                                                                 
3043D,0,0,0,0,0,0,1,20220123,20220123                                                                                                                 
3044L,1,0,0,0,0,0,0,20220124,20220124                                                                                                                 
3045M,0,1,0,0,0,0,0,20220125,20220125                                                                                                                 
3046X,0,0,1,0,0,0,0,20220126,20220126                                                                                                                 
3047J,0,0,0,1,0,0,0,20220127,20220127                                                                                                                 
3048V,0,0,0,0,1,0,0,20220128,20220128                                                                                                                 
3049S,0,0,0,0,0,1,0,20220129,20220129                                                                                                                 
3050D,0,0,0,0,0,0,1,20220130,20220130                                                                                                                 
3051L,1,0,0,0,0,0,0,20220131,20220131                                                                                                                 
3052M,0,1,0,0,0,0,0,20220201,20220201                                                                                                                 
3053X,0,0,1,0,0,0,0,20220202,20220202                                                                                                                 
3054J,0,0,0,1,0,0,0,20220203,20220203                                                                                                                 
3055V,0,0,0,0,1,0,0,20220204,20220204                                                                                                                 
3056S,0,0,0,0,0,1,0,20220205,20220205                                                                                                                 
3057D,0,0,0,0,0,0,1,20220206,20220206                                                                                                                 
3058L,1,0,0,0,0,0,0,20220207,20220207                                                                                                                 
3059M,0,1,0,0,0,0,0,20220208,20220208                                                                                                                 
3060X,0,0,1,0,0,0,0,20220209,20220209                                                                                                                 
3061J,0,0,0,1,0,0,0,20220210,20220210                                                                                                                 
3062V,0,0,0,0,1,0,0,20220211,20220211                                                                                                                 
3132X,0,0,1,0,0,0,0,20220112,20220112                                                                                                                 
3133J,0,0,0,1,0,0,0,20220113,20220113                                                                                                                 
