stop_id,stop_name,stop_lat,stop_lon                                                                                                                   
04040,Zaragoza-Delicias,41.658649 ,-0.911615                                                                                                          
06001,Librilla (apd),37.8865569,-1.3471673                                                                                                            
06002,Alhama De Murcia,37.8493837,-1.4145055                                                                                                          
06003,Totana,37.7635101,-1.4956127                                                                                                                    
06004,La Hoya (apd),37.7037338,-1.5954024                                                                                                             
06005,Lorca-San Diego (apd),37.6805717,-1.6858944                                                                                                     
06006,Lorca Sutullena,37.6725714,-1.6959002                                                                                                           
06007,Puerto Lumbreras (apt),37.5809194,-1.731775                                                                                                     
06008,Alcantarilla Los Romanos,37.9642527,-1.2170108                                                                                                  
06100,Almendricos,37.4748912,-1.7796447                                                                                                               
07001,Pulpi (apd),37.3999194,-1.7501361                                                                                                               
07003,Jaravia (apd),37.3925027,-1.693175                                                                                                              
07004,Aguilas,37.4098333,-1.5725777                                                                                                                   
07007,Aguilas-Lb,37.4119055,-1.5859138                                                                                                                
10000,Madrid-Príncipe Pio,40.4215361,-3.7190805                                                                                                       
10001,Aravaca (apd-Cgd),40.4484027,-3.7855512                                                                                                         
10002,Pozuelo,40.4473443,-3.8002865                                                                                                                   
10005,Las Rozas (apd),40.4942255,-3.8681086                                                                                                           
10007,Majadahond,40.4742448,-3.8452712                                                                                                                
10010,El Barrial,40.4653336,-3.8078526                                                                                                                
10100,Pinar De Las Rozas,40.5222566,-3.8822585                                                                                                        
10101,Las Matas,40.5523275,-3.8967651                                                                                                                 
10103,Torrelodones,40.5745499,-3.9565955                                                                                                              
10104,Galapagar-La Navata,40.6002664,-3.9822646                                                                                                       
10200,Villalba De Guadarrama,40.6265067,-4.0081871                                                                                                    
10201,San Yago,40.6178786,-4.0312349                                                                                                                  
10202,Las Zorreras-Navalquejigo,40.6092725,-4.0463634                                                                                                 
10203,El Escorial,40.5852811,-4.1324479                                                                                                               
10204,Zarzalejo,40.538710 ,-4.158180                                                                                                                  
10205,Robledo De Chavela,40.520802 ,-4.246774                                                                                                         
10206,Santa Maria De La Alameda-Peguerinos,40.568937 ,-4.269332                                                                                       
11305,Brinkola-OÑati,43.019887 ,-2.334469                                                                                                             
11306,Legazpi,43.052263 ,-2.329396                                                                                                                    
11400,Zumarraga,43.088273 ,-2.318462                                                                                                                  
11402,Ormaiztegui,43.040151 ,-2.255831                                                                                                                
11404,Beasain,43.046174 ,-2.203234                                                                                                                    
11405,Ordizia/Ordicia,43.052583 ,-2.181019                                                                                                            
11406,Itsasondo(apd),43.068955 ,-2.162736                                                                                                             
11407,Legorreta,43.085187 ,-2.14555                                                                                                                   
11408,Ikazteguieta (apd),43.094977 ,-2.126252                                                                                                         
