id,route_id,service_id,trip_id
,50T0011R2S ,5032X,5032X15130R2S
,50T0011R2S ,5032X,5032X15138R2S
,50T0012R2S ,5032X,5032X15139R2S
,50T0008R2S ,5032X,5032X15151R2S
,50T0009R2S ,5032X,5032X15400R2S
,50T0006R4  ,5032X,5032X15622R4
,50T0005R4  ,5032X,5032X15623R4
,50T0006R4  ,5032X,5032X15624R4
,50T0005R4  ,5032X,5032X15625R4
,50T0006R4  ,5032X,5032X15626R4
,50T0005R4  ,5032X,5032X15627R4
,50T0014R2  ,5032X,5032X15804R2
,50T0004R2N ,5032X,5032X15804R2N
,50T0014R2  ,5032X,5032X15806R2
,50T0004R2N ,5032X,5032X15806R2N
,50T0014R2  ,5032X,5032X15808R2
,50T0004R2N ,5032X,5032X15808R2N
,50T0014R2  ,5032X,5032X15810R2
,50T0004R2N ,5032X,5032X15810R2N
,50T0014R2  ,5032X,5032X15812R2
,50T0004R2N ,5032X,5032X15812R2N
,50T0014R2  ,5032X,5032X15814R2
,50T0004R2N ,5032X,5032X15814R2N
,50T0014R2  ,5032X,5032X15818R2
,50T0004R2N ,5032X,5032X15818R2N
,50T0014R2  ,5032X,5032X15820R2
,50T0004R2N ,5032X,5032X15820R2N
,50T0020R4  ,5032X,5032X25000R4
,50T0020R4  ,5032X,5032X25002R4
,50T0020R4  ,5032X,5032X25004R4
,50T0020R4  ,5032X,5032X25006R4
,50T0020R4  ,5032X,5032X25008R4
,50T0020R4  ,5032X,5032X25010R4
,50T0020R4  ,5032X,5032X25012R4
,50T0020R4  ,5032X,5032X25014R4
,50T0020R4  ,5032X,5032X25016R4
,50T0020R4  ,5032X,5032X25018R4
,50T0020R4  ,5032X,5032X25020R4
,50T0020R4  ,5032X,5032X25022R4
,50T0020R4  ,5032X,5032X25024R4
,50T0020R4  ,5032X,5032X25026R4
,50T0020R4  ,5032X,5032X25028R4
,50T0020R4  ,5032X,5032X25030R4
,50T0020R4  ,5032X,5032X25032R4
,50T0020R4  ,5032X,5032X25034R4
,50T0020R4  ,5032X,5032X25036R4
,50T0020R4  ,5032X,5032X25038R4
,50T0020R4  ,5032X,5032X25040R4
,50T0020R4  ,5032X,5032X25042R4
,50T0020R4  ,5032X,5032X25044R4
,50T0020R4  ,5032X,5032X25046R4
,50T0020R4  ,5032X,5032X25048R4
,50T0020R4  ,5032X,5032X25050R4
,50T0020R4  ,5032X,5032X25052R4
,50T0020R4  ,5032X,5032X25054R4
,50T0020R4  ,5032X,5032X25056R4
,50T0020R4  ,5032X,5032X25058R4
,50T0020R4  ,5032X,5032X25060R4
,50T0020R4  ,5032X,5032X25062R4
,50T0020R4  ,5032X,5032X25064R4
,50T0020R4  ,5032X,5032X25066R4
,50T0020R4  ,5032X,5032X25068R4
,50T0020R4  ,5032X,5032X25070R4
,50T0020R4  ,5032X,5032X25072R4
,50T0020R4  ,5032X,5032X25074R4
,50T0019R4  ,5032X,5032X25100R4
,50T0019R4  ,5032X,5032X25102R4
,50T0019R4  ,5032X,5032X25104R4
,50T0019R4  ,5032X,5032X25106R4
,50T0019R4  ,5032X,5032X25108R4
,50T0019R4  ,5032X,5032X25110R4
,50T0019R4  ,5032X,5032X25112R4
,50T0019R4  ,5032X,5032X25114R4
,50T0019R4  ,5032X,5032X25116R4
,50T0019R4  ,5032X,5032X25118R4
,50T0019R4  ,5032X,5032X25120R4
,50T0019R4  ,5032X,5032X25122R4
,50T0019R4  ,5032X,5032X25124R4
,50T0019R4  ,5032X,5032X25126R4
,50T0019R4  ,5032X,5032X25128R4
,50T0019R4  ,5032X,5032X25130R4
,50T0019R4  ,5032X,5032X25132R4
,50T0019R4  ,5032X,5032X25134R4
,50T0019R4  ,5032X,5032X25136R4
,50T0019R4  ,5032X,5032X25138R4
,50T0019R4  ,5032X,5032X25140R4
,50T0019R4  ,5032X,5032X25143R4
,50T0019R4  ,5032X,5032X25144R4
,50T0019R4  ,5032X,5032X25146R4
